fecha,comentario,tokens,estrellas
31/08/2025,Just the biggest scam of the century compared to the other compared to the other booking apps. I am so much looking forward to the day a rival comes up and deletes them from the market completely. Inhuman approach.,"['Just', 'the', 'biggest', 'scam', 'of', 'the', 'century', 'compared', 'to', 'the', 'other', 'compared', 'to', 'the', 'other', 'booking', 'apps', '.', 'I', 'am', 'so', 'much', 'looking', 'forward', 'to', 'the', 'day', 'a', 'rival', 'comes', 'up', 'and', 'deletes', 'them', 'from', 'the', 'market', 'completely', '.', 'Inhuman', 'approach', '.']",1/5
31/08/2025,"Airbnb is a great platform that deserves 5 stars, but their support is completely incompetent!

They do not know their own policies, are unwilling to help and generally just feed you the same non-helpful generic answer.","['Airbnb', 'is', 'a', 'great', 'platform', 'that', 'deserves', '5', 'stars', ',', 'but', 'their', 'support', 'is', 'completely', 'incompetent', '!', 'They', 'do', 'not', 'know', 'their', 'own', 'policies', ',', 'are', 'unwilling', 'to', 'help', 'and', 'generally', 'just', 'feed', 'you', 'the', 'same', 'non-helpful', 'generic', 'answer', '.']",1/5
31/08/2025,"Tried to book simple 3 night stay only to be confronted with more checks than someone of my age just does not have enough tech knowledge to complete
Off to Booking.com !!!!","['Tried', 'to', 'book', 'simple', '3', 'night', 'stay', 'only', 'to', 'be', 'confronted', 'with', 'more', 'checks', 'than', 'someone', 'of', 'my', 'age', 'just', 'does', 'not', 'have', 'enough', 'tech', 'knowledge', 'to', 'complete', 'Off', 'to', 'Booking.com', '!', '!', '!', '!']",1/5
31/08/2025,"I am deeply disappointed with Airbnb’s handling of a promised employee credit. During my time working at Airbnb, all employees were assured they would receive a travel credit. Every one of my colleagues received theirs—except me.

Despite reaching out multiple times to managers and the internal team, I was met only with delays and no resolution for months. I even contacted Airbnb Support, but instead of helping, they repeatedly closed my case without my consent or any explanation.

Sadly, I eventually had to leave my role without ever receiving the credit I was promised. This entire experience has left me feeling let down and unsupported by a company I once worked for and believed in.

I expected better from Airbnb, both as a former employee and as someone who trusted the company’s values. I truly hope Airbnb takes accountability and ensures no one else has to go through the same experience.","['I', 'am', 'deeply', 'disappointed', 'with', 'Airbnb', '’', 's', 'handling', 'of', 'a', 'promised', 'employee', 'credit', '.', 'During', 'my', 'time', 'working', 'at', 'Airbnb', ',', 'all', 'employees', 'were', 'assured', 'they', 'would', 'receive', 'a', 'travel', 'credit', '.', 'Every', 'one', 'of', 'my', 'colleagues', 'received', 'theirs—except', 'me', '.', 'Despite', 'reaching', 'out', 'multiple', 'times', 'to', 'managers', 'and', 'the', 'internal', 'team', ',', 'I', 'was', 'met', 'only', 'with', 'delays', 'and', 'no', 'resolution', 'for', 'months', '.', 'I', 'even', 'contacted', 'Airbnb', 'Support', ',', 'but', 'instead', 'of', 'helping', ',', 'they', 'repeatedly', 'closed', 'my', 'case', 'without', 'my', 'consent', 'or', 'any', 'explanation', '.', 'Sadly', ',', 'I', 'eventually', 'had', 'to', 'leave', 'my', 'role', 'without', 'ever', 'receiving', 'the', 'credit', 'I', 'was', 'promised', '.', 'This', 'entire', 'experience', 'has', 'left', 'me', 'feeling', 'let', 'down', 'and', 'unsupported', 'by', 'a', 'company', 'I', 'once', 'worked', 'for', 'and', 'believed', 'in', '.', 'I', 'expected', 'better', 'from', 'Airbnb', ',', 'both', 'as', 'a', 'former', 'employee', 'and', 'as', 'someone', 'who', 'trusted', 'the', 'company', '’', 's', 'values', '.', 'I', 'truly', 'hope', 'Airbnb', 'takes', 'accountability', 'and', 'ensures', 'no', 'one', 'else', 'has', 'to', 'go', 'through', 'the', 'same', 'experience', '.']",1/5
31/08/2025,"Have tried multiple times to book an Airbnb, ranging from apartments to houses. My partner has also tried and also had their booking rejected.

Airbnb constantly accuses us of planning an “unauthorised party”, and even though the host is fully willing to have us stay, they are also powerless.

Apparent risk factors include age and time of booking. I am 31, and I have tried to book places well advance and even on the day of to no avail. Also tried booking for a group of two and group of 8 but both attempts again rejected. This has rendered Airbnb unusable and I will no longer consider it in the future. Its AI architecture must be losing it a lot of business.

I followed procedure and contacted them for help but the staff on the phone also have their hands tied and escalate it to someone else, who never end up being able to lift the restriction.

I’m sure Airbnb will reply with a copy and paste response of security safety etc but the bottom line of the matter is that there is a flaw with their booking system which unfairly penalises people on their age. We’re not all party people, I just want to enjoy a holiday!","['Have', 'tried', 'multiple', 'times', 'to', 'book', 'an', 'Airbnb', ',', 'ranging', 'from', 'apartments', 'to', 'houses', '.', 'My', 'partner', 'has', 'also', 'tried', 'and', 'also', 'had', 'their', 'booking', 'rejected', '.', 'Airbnb', 'constantly', 'accuses', 'us', 'of', 'planning', 'an', '“', 'unauthorised', 'party', '”', ',', 'and', 'even', 'though', 'the', 'host', 'is', 'fully', 'willing', 'to', 'have', 'us', 'stay', ',', 'they', 'are', 'also', 'powerless', '.', 'Apparent', 'risk', 'factors', 'include', 'age', 'and', 'time', 'of', 'booking', '.', 'I', 'am', '31', ',', 'and', 'I', 'have', 'tried', 'to', 'book', 'places', 'well', 'advance', 'and', 'even', 'on', 'the', 'day', 'of', 'to', 'no', 'avail', '.', 'Also', 'tried', 'booking', 'for', 'a', 'group', 'of', 'two', 'and', 'group', 'of', '8', 'but', 'both', 'attempts', 'again', 'rejected', '.', 'This', 'has', 'rendered', 'Airbnb', 'unusable', 'and', 'I', 'will', 'no', 'longer', 'consider', 'it', 'in', 'the', 'future', '.', 'Its', 'AI', 'architecture', 'must', 'be', 'losing', 'it', 'a', 'lot', 'of', 'business', '.', 'I', 'followed', 'procedure', 'and', 'contacted', 'them', 'for', 'help', 'but', 'the', 'staff', 'on', 'the', 'phone', 'also', 'have', 'their', 'hands', 'tied', 'and', 'escalate', 'it', 'to', 'someone', 'else', ',', 'who', 'never', 'end', 'up', 'being', 'able', 'to', 'lift', 'the', 'restriction', '.', 'I', '’', 'm', 'sure', 'Airbnb', 'will', 'reply', 'with', 'a', 'copy', 'and', 'paste', 'response', 'of', 'security', 'safety', 'etc', 'but', 'the', 'bottom', 'line', 'of', 'the', 'matter', 'is', 'that', 'there', 'is', 'a', 'flaw', 'with', 'their', 'booking', 'system', 'which', 'unfairly', 'penalises', 'people', 'on', 'their', 'age', '.', 'We', '’', 're', 'not', 'all', 'party', 'people', ',', 'I', 'just', 'want', 'to', 'enjoy', 'a', 'holiday', '!']",1/5
30/08/2025,"I'm surprised at the reviews on here.
The customer service were excellent!
Ring you straight away and were truly brilliant for any problems.
They have sorted me out a few times, keep you informed
Very polite
Excellent customer service","['I', ""'m"", 'surprised', 'at', 'the', 'reviews', 'on', 'here', '.', 'The', 'customer', 'service', 'were', 'excellent', '!', 'Ring', 'you', 'straight', 'away', 'and', 'were', 'truly', 'brilliant', 'for', 'any', 'problems', '.', 'They', 'have', 'sorted', 'me', 'out', 'a', 'few', 'times', ',', 'keep', 'you', 'informed', 'Very', 'polite', 'Excellent', 'customer', 'service']",5/5
30/08/2025,A catastrophe. After being a superhost for many years airbnb has reduced our salary with 1000 euros aften one guest wasn’t satisfied. Impossible to be in contact with airbnb - they ignore us and won’t give us any documentation about their decision,"['A', 'catastrophe', '.', 'After', 'being', 'a', 'superhost', 'for', 'many', 'years', 'airbnb', 'has', 'reduced', 'our', 'salary', 'with', '1000', 'euros', 'aften', 'one', 'guest', 'wasn', '’', 't', 'satisfied', '.', 'Impossible', 'to', 'be', 'in', 'contact', 'with', 'airbnb', '-', 'they', 'ignore', 'us', 'and', 'won', '’', 't', 'give', 'us', 'any', 'documentation', 'about', 'their', 'decision']",1/5
30/08/2025,"I stayed at Cascais Skyline Studio (Reservation ID: HMQAAKMAEC) July 29 – Aug 4, 2025. The property had visible mold, which Airbnb refunded. That was resolved.

Separately, the host falsely claimed I damaged a bathroom outlet that was already damaged. Despite my evidence and appeal, Airbnb denied it and has charged me $610.98 for this so-called “damage.”

I did not cause this damage. Guests should not be held responsible for pre-existing conditions. Airbnb needs to stop shifting host liabilities onto guests.","['I', 'stayed', 'at', 'Cascais', 'Skyline', 'Studio', '(', 'Reservation', 'ID', ':', 'HMQAAKMAEC', ')', 'July', '29', '–', 'Aug', '4', ',', '2025', '.', 'The', 'property', 'had', 'visible', 'mold', ',', 'which', 'Airbnb', 'refunded', '.', 'That', 'was', 'resolved', '.', 'Separately', ',', 'the', 'host', 'falsely', 'claimed', 'I', 'damaged', 'a', 'bathroom', 'outlet', 'that', 'was', 'already', 'damaged', '.', 'Despite', 'my', 'evidence', 'and', 'appeal', ',', 'Airbnb', 'denied', 'it', 'and', 'has', 'charged', 'me', '$', '610.98', 'for', 'this', 'so-called', '“', 'damage.', '”', 'I', 'did', 'not', 'cause', 'this', 'damage', '.', 'Guests', 'should', 'not', 'be', 'held', 'responsible', 'for', 'pre-existing', 'conditions', '.', 'Airbnb', 'needs', 'to', 'stop', 'shifting', 'host', 'liabilities', 'onto', 'guests', '.']",1/5
30/08/2025,"I have been a host for 8 years with a consistent 5-star record. Recently, a guest caused several hundred dollars in damages to my home. Airbnb failed to cover even half of the damages and took almost a month to “review” the case — I still haven’t been paid.

To make matters worse, the same guest who vandalized my house had the gall to post a retaliatory 1-star review. I flagged it immediately, yet Airbnb support was delayed and unresponsive. Despite clear evidence, they allowed the review to remain live long enough causing real harm to my listing.

Airbnb’s so-called “customer support” is little more than a call center with no authority. Every interaction ends with the same empty promise to “escalate your request,” but nothing happens. It is an endless waste of time.

Airbnb takes a hefty cut from every booking, but offers no real protection to hosts. The company has shifted the entire risk to its hosts, while leaving us vulnerable to abuse, property damage, and bad-faith reviews.

If you are considering hosting, know this: when things go wrong, you will be on your own.","['I', 'have', 'been', 'a', 'host', 'for', '8', 'years', 'with', 'a', 'consistent', '5-star', 'record', '.', 'Recently', ',', 'a', 'guest', 'caused', 'several', 'hundred', 'dollars', 'in', 'damages', 'to', 'my', 'home', '.', 'Airbnb', 'failed', 'to', 'cover', 'even', 'half', 'of', 'the', 'damages', 'and', 'took', 'almost', 'a', 'month', 'to', '“', 'review', '”', 'the', 'case', '—', 'I', 'still', 'haven', '’', 't', 'been', 'paid', '.', 'To', 'make', 'matters', 'worse', ',', 'the', 'same', 'guest', 'who', 'vandalized', 'my', 'house', 'had', 'the', 'gall', 'to', 'post', 'a', 'retaliatory', '1-star', 'review', '.', 'I', 'flagged', 'it', 'immediately', ',', 'yet', 'Airbnb', 'support', 'was', 'delayed', 'and', 'unresponsive', '.', 'Despite', 'clear', 'evidence', ',', 'they', 'allowed', 'the', 'review', 'to', 'remain', 'live', 'long', 'enough', 'causing', 'real', 'harm', 'to', 'my', 'listing', '.', 'Airbnb', '’', 's', 'so-called', '“', 'customer', 'support', '”', 'is', 'little', 'more', 'than', 'a', 'call', 'center', 'with', 'no', 'authority', '.', 'Every', 'interaction', 'ends', 'with', 'the', 'same', 'empty', 'promise', 'to', '“', 'escalate', 'your', 'request', ',', '”', 'but', 'nothing', 'happens', '.', 'It', 'is', 'an', 'endless', 'waste', 'of', 'time', '.', 'Airbnb', 'takes', 'a', 'hefty', 'cut', 'from', 'every', 'booking', ',', 'but', 'offers', 'no', 'real', 'protection', 'to', 'hosts', '.', 'The', 'company', 'has', 'shifted', 'the', 'entire', 'risk', 'to', 'its', 'hosts', ',', 'while', 'leaving', 'us', 'vulnerable', 'to', 'abuse', ',', 'property', 'damage', ',', 'and', 'bad-faith', 'reviews', '.', 'If', 'you', 'are', 'considering', 'hosting', ',', 'know', 'this', ':', 'when', 'things', 'go', 'wrong', ',', 'you', 'will', 'be', 'on', 'your', 'own', '.']",1/5
29/08/2025,"If you’re a host or thinking about becoming one, read this!! We recently had a guess violate several of our house rule that resulted in a very large cleaning bill (hvac, upholstery, carpet cleaning and more) and our home being down for a few weeks. We have video evidence (several) of the infractions along with our receipts that we submitted to the Airbnb resolution center for review. They denied our claim even though it clearly qualifies according to their AirCover guidelines. But then granted a refund to the guess…🤯","['If', 'you', '’', 're', 'a', 'host', 'or', 'thinking', 'about', 'becoming', 'one', ',', 'read', 'this', '!', '!', 'We', 'recently', 'had', 'a', 'guess', 'violate', 'several', 'of', 'our', 'house', 'rule', 'that', 'resulted', 'in', 'a', 'very', 'large', 'cleaning', 'bill', '(', 'hvac', ',', 'upholstery', ',', 'carpet', 'cleaning', 'and', 'more', ')', 'and', 'our', 'home', 'being', 'down', 'for', 'a', 'few', 'weeks', '.', 'We', 'have', 'video', 'evidence', '(', 'several', ')', 'of', 'the', 'infractions', 'along', 'with', 'our', 'receipts', 'that', 'we', 'submitted', 'to', 'the', 'Airbnb', 'resolution', 'center', 'for', 'review', '.', 'They', 'denied', 'our', 'claim', 'even', 'though', 'it', 'clearly', 'qualifies', 'according', 'to', 'their', 'AirCover', 'guidelines', '.', 'But', 'then', 'granted', 'a', 'refund', 'to', 'the', 'guess…🤯']",1/5
